credito_id,entidad,numero_cuota,fecha_vencimiento,cuota_total,abono_capital,pago_interes,saldo_pendiente
CRED_001,Bancolombia,1,2025-01-01,5992.39,4192.39,1800.00,115807.61
CRED_001,Bancolombia,2,2025-02-01,5992.39,4255.28,1737.11,111552.33
CRED_001,Bancolombia,3,2025-03-01,5992.39,4319.11,1673.28,107233.22
CRED_001,Bancolombia,4,2025-04-01,5992.39,4383.90,1608.49,102849.32
CRED_001,Bancolombia,5,2025-05-01,5992.39,4449.66,1542.73,98399.66
CRED_001,Bancolombia,6,2025-06-01,5992.39,4516.40,1475.99,93883.26
CRED_001,Bancolombia,7,2025-07-01,5992.39,4584.15,1408.24,89299.11
CRED_001,Bancolombia,8,2025-08-01,5992.39,4652.91,1339.48,84646.20
CRED_001,Bancolombia,9,2025-09-01,5992.39,4722.70,1269.69,79923.50
CRED_001,Bancolombia,10,2025-10-01,5992.39,4793.54,1198.85,75129.96
CRED_001,Bancolombia,11,2025-11-01,5992.39,4865.44,1126.95,70264.52
CRED_001,Bancolombia,12,2025-12-01,5992.39,4944.31,1048.08,64927.70
CRED_001,Bancolombia,13,2026-01-01,5992.39,5012.33,980.06,59915.37
CRED_001,Bancolombia,14,2026-02-01,5992.39,5087.52,904.87,54827.85
CRED_001,Bancolombia,15,2026-03-01,5992.39,5163.83,828.56,49664.02
CRED_001,Bancolombia,16,2026-04-01,5992.39,5241.29,751.10,44422.73
CRED_001,Bancolombia,17,2026-05-01,5992.39,5319.91,672.48,39102.82
CRED_001,Bancolombia,18,2026-06-01,5992.39,5399.71,592.68,33703.11
CRED_001,Bancolombia,19,2026-07-01,5992.39,5480.70,511.69,28222.41
CRED_001,Bancolombia,20,2026-08-01,5992.39,5562.91,429.48,22659.50
CRED_001,Bancolombia,21,2026-09-01,5992.39,5646.36,336.03,17013.14
CRED_001,Bancolombia,22,2026-10-01,5992.39,5731.05,261.34,11282.09
CRED_001,Bancolombia,23,2026-11-01,5992.39,5817.02,175.37,5465.07
CRED_001,Bancolombia,24,2026-12-01,5992.39,5465.07,81.98,0.00
CRED_002,Davivienda,1,2025-06-01,4971.21,4011.21,960.00,75988.79
CRED_002,Davivienda,2,2025-07-01,4971.21,4059.35,911.87,71929.44
CRED_002,Davivienda,3,2025-08-01,4971.21,4108.06,863.15,67821.38
CRED_002,Davivienda,4,2025-09-01,4971.21,4157.36,813.85,63664.02
CRED_002,Davivienda,5,2025-10-01,4971.21,4207.25,763.96,59456.77
CRED_002,Davivienda,6,2025-11-01,4971.21,4257.73,713.48,55199.04
CRED_002,Davivienda,7,2025-12-01,4971.21,4308.82,662.39,50890.22
CRED_002,Davivienda,8,2026-01-01,4971.21,4360.53,610.68,46529.69
CRED_002,Davivienda,9,2026-02-01,4971.21,4412.86,558.35,42116.83
CRED_002,Davivienda,10,2026-03-01,4971.21,4465.81,505.40,37651.02
CRED_002,Davivienda,11,2026-04-01,4971.21,4519.40,451.81,33131.62
CRED_002,Davivienda,12,2026-05-01,4971.21,4573.63,397.58,28557.99
CRED_002,Davivienda,13,2026-06-01,4971.21,4628.52,342.69,23929.47
CRED_002,Davivienda,14,2026-07-01,4971.21,4684.06,287.15,19245.41
CRED_002,Davivienda,15,2026-08-01,4971.21,4740.27,230.94,14505.14
CRED_002,Davivienda,16,2026-09-01,4971.21,4797.15,174.06,9707.99
CRED_002,Davivienda,17,2026-10-01,4971.21,4854.72,116.49,4853.27
CRED_002,Davivienda,18,2026-11-01,4971.21,4853.27,58.24,0.00
CRED_003,Finaktiva,1,2025-10-01,2352.90,1752.90,600.00,48247.10
CRED_003,Finaktiva,2,2025-11-01,2352.90,1773.93,578.97,46473.17
CRED_003,Finaktiva,3,2025-12-01,2352.90,1795.22,57.68,44677.95
CRED_003,Finaktiva,4,2026-01-01,2352.90,1816.76,536.14,42861.19
CRED_003,Finaktiva,5,2026-02-01,2352.90,1838.56,514.34,41022.63
CRED_003,Finaktiva,6,2026-03-01,2352.90,1860.62,492.28,39162.01
CRED_003,Finaktiva,7,2026-04-01,2352.90,1882.95,469.95,37279.06
CRED_003,Finaktiva,8,2026-05-01,2352.90,1905.55,447.35,35373.51
CRED_003,Finaktiva,9,2026-06-01,2352.90,1928.42,424.48,33445.09
CRED_003,Finaktiva,10,2026-07-01,2352.90,1951.56,401.34,31493.53
