FECHA,TIPO,CATEGORIA,Monto_Original
2024-06-01,Egreso,Operativo,-29500.0
2024-06-01,Ingreso,Operativo,47000.0
2024-07-01,Egreso,Operativo,-29750.0
2024-07-01,Ingreso,Operativo,48500.0
2024-08-01,Egreso,Operativo,-29650.0
2024-08-01,Ingreso,Operativo,50100.0
2024-09-01,Egreso,Operativo,-33600.0
2024-09-01,Ingreso,Operativo,60000.0
2024-10-01,Egreso,Operativo,-33950.0
2024-10-01,Ingreso,Operativo,62200.0
2024-11-01,Egreso,Operativo,-34300.0
2024-11-01,Ingreso,Operativo,65000.0
2024-12-01,Egreso,Operativo,-38000.0
2024-12-01,Ingreso,Operativo,75800.0
2025-01-01,Egreso,Operativo,-37700.0
2025-01-01,Ingreso,Operativo,74000.0
2025-02-01,Egreso,Operativo,-37950.0
2025-02-01,Ingreso,Operativo,76500.0
2025-03-01,Egreso,Operativo,-42600.0
2025-03-01,Ingreso,Operativo,84100.0
2025-04-01,Egreso,Operativo,-42900.0
2025-04-01,Ingreso,Operativo,87000.0
2025-05-01,Egreso,Operativo,-43450.0
2025-05-01,Ingreso,Operativo,90300.0
2025-06-01,Egreso,Operativo,-48300.0
2025-06-01,Ingreso,Operativo,103000.0
2025-07-01,Egreso,Operativo,-48650.0
2025-07-01,Ingreso,Operativo,106200.0
2025-08-01,Egreso,Operativo,-48600.0
2025-08-01,Ingreso,Operativo,109000.0
2025-09-01,Egreso,Operativo,-53500.0
2025-09-01,Ingreso,Operativo,116500.0
2025-10-01,Egreso,Operativo,-53800.0
2025-10-01,Ingreso,Operativo,119000.0
2025-11-01,Egreso,Operativo,-54150.0
2025-11-01,Ingreso,Operativo,122300.0
2025-12-01,Egreso,Operativo,-60300.0
2025-12-01,Ingreso,Operativo,136000.0
2026-01-01,Egreso,Operativo,-60000.0
2026-01-01,Ingreso,Operativo,134500.0
2026-02-01,Egreso,Operativo,-60400.0
2026-02-01,Ingreso,Operativo,138000.0
2026-03-01,Egreso,Operativo,-66600.0
2026-03-01,Ingreso,Operativo,147100.0
2026-04-01,Egreso,Operativo,-67000.0
2026-04-01,Ingreso,Operativo,150000.0
2026-05-01,Egreso,Operativo,-67800.0
2026-05-01,Ingreso,Operativo,154500.0
