FECHA_VENCIMIENTO,CUOTA_TOTAL,PAGO_INTERES,ABONO_CAPITAL,SALDO_PENDIENTE
2025-01-01,5992.39,1800.0,4192.39,115807.61
2025-02-01,5992.39,1737.11,4255.28,111552.33
2025-03-01,5992.39,1673.28,4319.11,107233.22
2025-04-01,5992.39,1608.49,4383.9,102849.32
2025-05-01,5992.39,1542.73,4449.66,98399.66
2025-06-01,10963.6,2435.99,8527.61,169872.05
2025-07-01,10963.6,2320.11,8643.5,161228.55
2025-08-01,10963.6,2202.63,8760.970000000001,152467.58000000002
2025-09-01,10963.6,2083.54,8880.06,143587.52
2025-10-01,13316.5,2562.81,10753.69,182833.83000000002
2025-11-01,13316.5,2419.4,10897.099999999999,171936.73
2025-12-01,13316.5,1768.1499999999999,11048.35,160495.87
2026-01-01,13316.5,2126.88,11189.619999999999,149306.25
2026-02-01,13316.5,1977.56,11338.94,137967.31
2026-03-01,13316.5,1826.2399999999998,11490.26,126477.04999999999
2026-04-01,13316.5,1672.8600000000001,11643.64,114833.41
2026-05-01,13316.5,1517.41,11799.09,103034.32
2026-06-01,13316.5,1359.85,11956.650000000001,91077.67
2026-07-01,13316.5,1200.1799999999998,12116.32,78961.35
2026-08-01,10963.6,660.4200000000001,10303.18,37164.64
2026-09-01,10963.6,510.09,10443.509999999998,26721.129999999997
2026-10-01,10963.6,377.83,10585.77,16135.36
2026-11-01,10963.6,233.61,10670.29,5465.07
2026-12-01,5992.39,81.98,5465.07,0.0
